latitude,longitude,date,time
37.81,13.78,2023-07-25,1214
37.81,13.78,2023-07-25,1214
37.81,13.78,2023-07-25,1214
37.81,13.78,2023-07-25,1214
37.81,13.78,2023-07-25,1214
37.69,14.99,2023-07-25,1214
37.66,12.81,2023-07-25,1214
37.66,12.81,2023-07-25,1214
37.94,15.71,2023-07-25,1214
37.94,15.71,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.94,15.71,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.78,13.15,2023-07-25,1214
37.94,15.71,2023-07-25,1214
37.78,13.15,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.78,13.15,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.78,13.15,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.78,13.15,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.82,14.71,2023-07-25,1214
37.78,13.15,2023-07-25,1214
37.94,15.71,2023-07-25,1214
37.94,15.9,2023-07-25,1214
37.94,15.71,2023-07-25,1214
37.94,15.9,2023-07-25,1214
37.94,15.71,2023-07-25,1214
37.94,15.71,2023-07-25,1214
37.94,15.71,2023-07-25,1214
38.13,15.25,2023-07-25,1214
38.13,15.25,2023-07-25,1214
38.13,15.25,2023-07-25,1214
38.13,15.25,2023-07-25,1214
38.13,15.25,2023-07-25,1214
38.13,15.25,2023-07-25,1214
39.41,16.25,2023-07-25,1214
40.03,18.0,2023-07-25,1214
37.69,14.99,2023-07-26,33
37.15,14.87,2023-07-26,35
40.03,18.0,2023-07-27,1136
39.85,9.51,2023-07-27,1316
43.84,7.54,2023-07-27,1318
44.94,7.51,2023-07-27,1318
36.98,15.08,2023-07-28,137
40.43,17.2,2023-07-28,1119
39.59,8.86,2023-07-28,1257
41.78,12.61,2023-07-29,1058
41.78,12.61,2023-07-29,1058
40.89,15.59,2023-07-29,1240
41.79,14.87,2023-07-29,1240
40.35,17.63,2023-07-30,1041
40.35,17.63,2023-07-30,1041
40.35,17.63,2023-07-30,1041
37.41,13.32,2023-07-30,1219
37.15,13.66,2023-07-31,1200
37.15,13.66,2023-07-31,1200
39.08,9.02,2023-08-01,1323
36.98,14.04,2023-08-02,1121
36.98,14.04,2023-08-02,1121
36.98,14.04,2023-08-02,1304
36.98,14.04,2023-08-02,1304
36.98,14.04,2023-08-02,1304
36.98,14.04,2023-08-02,1304
36.98,14.04,2023-08-02,1304
37.15,13.66,2023-08-02,1304
37.15,13.66,2023-08-02,1304
